#Endpoint, status Sat Dec 12 2019
http://www.rechercheisidore.fr/sparql/, HTTP/1.1 301 Moved Permanently
http://www.scholarlydata.org/sparql, HTTP/1.1 301 Moved Permanently
http://xula.eagle-i.net/sparqler/sparql, HTTP/1.1 200 OK
http://zbw.eu/beta/sparql/econ_corp/query, HTTP/1.1 200 OK
http://zbw.eu/beta/sparql/econ_pers/query, HTTP/1.1 200 OK
http://zbw.eu/beta/sparql/gnd/query, HTTP/1.1 200 OK
http://zbw.eu/beta/sparql/stw/query, HTTP/1.1 200 OK
http://zhishi.me/sparql, HTTP/1.1 200 OK
https://3cixty.eurecom.fr/sparql, HTTP/1.1 404
https://affymetrix.bio2rdf.org/sparql, HTTP/2 200
https://api.aucklandmuseum.com/sparql, HTTP/2 200
https://api.nextprot.org/sparql, HTTP/1.1 200 OK
https://api.parliament.uk/sparql, HTTP/1.1 200 OK
https://babelnet.org/sparql/, HTTP/1.1 200 OK
https://bio2rdf.org/sparql, HTTP/2 200
https://bioportal.bio2rdf.org/sparql/, HTTP/2 200
https://bmrbpub.pdbj.org/search/rdf, HTTP/1.1 200 OK
https://bnb.data.bl.uk/sparql, HTTP/2 200
https://clinicaltrials.bio2rdf.org/sparql, HTTP/2 200
https://colil.dbcls.jp/sparql, HTTP/1.1 200 OK
https://cr.eionet.europa.eu/sparql, HTTP/1.1 200
https://ctd.bio2rdf.org/sparql, HTTP/2 200
https://data.bib.uni-mannheim.de/sparql, HTTP/1.1 404 Not Found
https://data.bnf.fr/current/sparql.html, HTTP/1.1 200 OK
https://data.bnf.fr/sparql, HTTP/1.1 200 OK
https://data.cssz.cz/sparql, HTTP/1.1 200 OK
https://data.epo.org/linked-data/sparql, HTTP/1.1 404 Not Found
https://data.gesis.org/claimskg/sparql, HTTP/1.1 200 OK
https://data.gov.cz/sparql, HTTP/2 200
https://data.idref.fr/endpoint.html, HTTP/1.1 200 OK
https://data.idref.fr/sparql, HTTP/1.1 200 OK
https://data.pdok.nl/sparql, HTTP/1.1 200
https://datos-abertos.galiciana.gal/pt/sparql, HTTP/1.1 200 OK
https://datos.gob.es/en/sparql, HTTP/1.1 200 OK
https://dblp.l3s.de/d2r/sparql,
https://dbsnp.bio2rdf.org/sparql, HTTP/2 200
https://drugbank.bio2rdf.org/sparql, HTTP/2 200
https://ebi.identifiers.org/services/sparql, HTTP/1.1 200 OK
https://en.openei.org/sparql, HTTP/1.1 301 Moved Permanently
https://eu.dbpedia.org/sparql, HTTP/1.1 200 OK
https://genage.bio2rdf.org/sparql, HTTP/2 200
https://gendr.bio2rdf.org/sparql, HTTP/2 200
https://geosparql.demo.openlinksw.com/sparql, HTTP/2 200
https://goa.bio2rdf.org/sparql, HTTP/2 200
https://heritagedata.org/live/sparql, HTTP/1.1 200 OK
https://hgnc.bio2rdf.org/sparql, HTTP/2 200
https://homologene.bio2rdf.org/sparql, HTTP/2 200
https://hub-rnsr.idref.fr/sparql, HTTP/1.1 200 OK
https://id.ndl.go.jp/auth/ndla/, HTTP/1.1 200 OK
https://id.ndl.go.jp/auth/ndlsh/, HTTP/1.1 200 OK
https://idsm.elixir-czech.cz/sparql/endpoint/idsm, HTTP/1.1 200 200
https://io.datascience-paris-saclay.fr/sparql, HTTP/1.1 200 OK
https://isidore.science/sparql, HTTP/2 200
https://joinup.ec.europa.eu/sparql/, HTTP/2 200
https://jpsearch.go.jp/rdf/sparql, HTTP/1.1 200 OK
https://landportal.org/sparql, HTTP/2 200
https://ldf.fi/mufi/sparql, HTTP/1.1 200 OK
https://lindas-data.ch/sparql, HTTP/2 200
https://linked.opendata.cz/sparql, HTTP/2 200
https://lod.abes.fr/sparql, HTTP/1.1 200 OK
https://lov.linkeddata.es/dataset/lov/sparql, HTTP/1.1 200 OK
https://lsr.bio2rdf.org/sparql, HTTP/2 200
https://mgi.bio2rdf.org/sparql, HTTP/2 200
https://ncbigene.bio2rdf.org/sparql, HTTP/2 200
https://ndc.bio2rdf.org/sparql, HTTP/2 200
https://op.europa.eu/en/advanced-sparql-query-editor, HTTP/2 200
https://opendata.aragon.es/sparql, HTTP/1.1 200 OK
https://opendata1.opendata.u-psud.fr/sparql, HTTP/1.1 200 OK
https://openpark.jp/sparql, HTTP/1.1 200 OK
https://query.wikidata.org/sparql, HTTP/2 200
https://rdf.insee.fr/sparql, HTTP/1.1 200
https://rdf.metanetx.org/sparql, HTTP/1.1 200 OK
https://ruian.linked.opendata.cz/sparql, HTTP/2 200
https://semantic.eea.europa.eu/sparql, HTTP/1.1 200
https://sophox.org/sparql, HTTP/2 200
https://sparql.crssnky.xyz/spql/imas/query, HTTP/1.1 200 OK
https://sparql.dl.itc.u-tokyo.ac.jp/, HTTP/1.1 200 OK
https://sparql.geo.admin.ch/sparql, HTTP/2 200
https://sparql.lri.fr/sparql, HTTP/1.1 200 OK
https://sparql.nextprot.org/, HTTP/1.1 200 OK
https://sparql.omabrowser.org/sparql, HTTP/1.1 200 OK
https://sparql.orthodb.org/sparql, HTTP/1.1 200 OK
https://sparql.rhea-db.org/sparql, HTTP/1.1 200 OK
https://sparql.uniprot.org/sparql, HTTP/1.1 200
https://vocab.nerc.ac.uk/sparql/sparql, HTTP/1.1 200 OK
https://www.ebi.ac.uk/rdf/services/sparql, HTTP/1.1 200 OK
https://www.europeandataportal.eu/sparql, HTTP/1.1 200 OK
https://www.nakala.fr/sparql, HTTP/1.1 200 OK
https://www.orpha.net/sparql, HTTP/1.1 200 OK
https://xn--slovnk-7va.gov.cz/sparql, HTTP/2 200
